Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC63.2,NC34.2,W11xW3R1,0.25,0.3465,8550000,3380000,5600000,1.3859,0.8714,1.1017,0.6927,0.8344
NC63.2,NC34.2,W11xW3R2,0.25,0.3272,4210000,4400000,4750000,1.3087,0.8971,0.6772,1.0326,0.9163
NC63.2,NC52.3,W11xW6R1,0.25,0.4118,8550000,7320000,6600000,1.6473,0.7842,0.7864,1.4142,1.1557
NC63.2,NC52.3,W11xW6R2,0.25,0.2687,6480000,8120000,7000000,1.0747,0.9751,0.8613,1.1896,1.1014
NC63.2,NC52.3,W11xW6R3,0.25,0.2917,7000000,7550000,8150000,1.1667,0.9444,0.7362,0.9809,0.9095
NC63.2,NC52.3,W11xW6R4,0.25,0.3364,4210000,8750000,8000000,1.3456,0.8848,0.3911,1.2362,0.9519
NC63.2,NC60.1,W11xW9R1,0.25,0.3734,8550000,7390000,9050000,1.4938,0.8354,0.6325,0.9775,0.8486
NC63.2,NC60.1,W11xW9R2,0.25,0.2903,4210000,9530000,7500000,1.161,0.9463,0.4835,1.3427,1.0933
NC28.1,NC63.2,W1xW11R1,0.25,0.275,9290000,8125000,9200000,1.1001,0.9666,0.918,0.9136,0.9148
NC28.1,NC63.2,W1xW11R10,0.25,0.4336,8550000,8551000,14200000,1.7344,0.7552,0.3472,0.7974,0.6022
NC28.1,NC63.2,W1xW11R11,0.25,0.3723,9600000,4210000,4900000,1.4892,0.8369,1.3156,1.0266,1.1342
NC28.1,NC63.2,W1xW11R12,0.25,0.297,6160000,7040000,8360000,1.188,0.9373,0.6202,0.8984,0.8158
NC28.1,NC63.2,W1xW11R13,0.25,0.327,6890000,7580000,8660000,1.308,0.8973,0.6083,0.9754,0.8554
NC28.1,NC63.2,W1xW11R14,0.25,0.317,5540000,5920000,6910000,1.268,0.9107,0.6323,0.9408,0.843
NC28.1,NC63.2,W1xW11R15,0.25,0.304,6010000,6500000,7430000,1.216,0.928,0.6652,0.9427,0.8583
NC28.1,NC63.2,W1xW11R16,0.25,0.304,7240000,7660000,8950000,1.216,0.928,0.6652,0.9223,0.8441
NC28.1,NC63.2,W1xW11R17,0.25,0.314,6650000,7500000,8740000,1.256,0.9147,0.6058,0.9382,0.8338
NC28.1,NC63.2,W1xW11R18,0.25,0.307,7910000,8430000,9550000,1.228,0.924,0.6745,0.9553,0.8691
NC28.1,NC63.2,W1xW11R2,0.25,0.326,9290000,8125000,9250000,1.24,0.92,0.7702,0.9774,0.9099
NC28.1,NC63.2,W1xW11R3,0.25,0.288,9680000,8941667,11300000,1.1538,0.9487,0.7436,0.8335,0.8076
NC28.1,NC63.2,W1xW11R4,0.25,0.27,9680000,8941667,12600000,1.0507,0.9831,0.7113,0.7291,0.7243
NC28.1,NC63.2,W1xW11R5,0.25,0.354,5320000,2980000,4450000,1.4268,0.8577,0.8443,0.7775,0.8011
NC28.1,NC63.2,W1xW11R6,0.25,0.356,5320000,2980000,4500000,1.4063,0.8646,0.8302,0.7712,0.7922
NC28.1,NC63.2,W1xW11R7,0.25,0.3354,6125000,1150000,2500000,1.3415,0.8862,1.8263,0.5191,0.9575
NC28.1,NC63.2,W1xW11R8,0.25,0.3492,9900000,4925000,7450000,1.397,0.8677,0.9513,0.7619,0.828
NC28.1,NC63.2,W1xW11R9,0.25,0.4254,12200000,3943750,7300000,1.7014,0.7662,0.9823,0.7051,0.823
NC28.1,NC69.1,W1xW13R1,0.25,0.293,6130000,8300000,6850000,1.172,0.9427,0.7636,1.2854,1.1325
NC28.1,NC69.1,W1xW13R2,0.25,0.6061,9900000,6900000,6400000,2.4244,0.5252,0.6381,2.0527,1.1953
NC28.1,NC71.1,W1xW14R1,0.25,0.6789,6130000,2580000,4300000,2.7156,0.4281,0.525,1.4014,0.8064
NC28.1,NC71.1,W1xW14R2,0.25,0.7137,9900000,6100000,7750000,2.8548,0.3817,0.4475,2.0619,0.9097
NC28.1,NC80.1,W1xW18R1,0.25,0.4118,6130000,1900000,7650000,1.6473,0.7842,0.4864,0.3167,0.3866
NC28.1,NC80.1,W1xW18R2,0.25,0.3919,9900000,7250000,.,1.5675,0.8108,.,.,.
NC28.1,NC99.1,W1xW23R1,0.25,0.3252,6130000,8450000,6700000,1.3007,0.8998,0.7034,1.4017,1.1746
NC28.1,NC99.1,W1xW23R2,0.25,0.3462,6130000,8450000,7500000,1.3848,0.8717,0.5902,1.2924,1.0493
NC28.1,NC34.2,W1xW3R1,0.25,0.2793,6130000,9080000,9100000,1.1172,0.9609,0.6029,1.0384,0.9168
NC28.1,NC34.2,W1xW3R2,0.25,0.2741,9900000,4170000,6200000,1.0964,0.9679,1.4563,0.6949,0.9036
NC28.1,NC52.3,W1xW6R1,0.25,0.3619,6130000,6550000,8000000,1.4475,0.8508,0.5294,0.9623,0.8056
NC28.1,NC52.3,W1xW6R2,0.25,0.3888,9900000,7330000,8000000,1.5553,0.8149,0.7957,1.1244,0.9966
NC28.1,NC52.3,W1xW6R3,0.25,0.2859,8230000,8120000,8550000,1.1434,0.9522,0.8418,0.9974,0.9529
NC28.1,NC52.3,W1xW6R4,0.25,0.3823,7480000,7550000,6700000,1.5292,0.8236,0.7301,1.3682,1.1243
NC28.1,NC60.1,W1xW9R1,0.25,0.2966,6130000,7000000,9100000,1.1865,0.9378,0.5677,0.8202,0.7453
NC28.1,NC60.1,W1xW9R2,0.25,0.2376,9900000,9700000,.,0.9503,1.0166,.,.,.
NC28.1,NC60.1,W1xW9R3,0.25,0.2438,7240000,8690000,7200000,0.9752,1.0083,1.0312,1.197,1.1566
NC28.1,NC60.1,W1xW9R4,0.25,0.3438,7240000,8690000,8300000,1.3753,0.8749,0.6343,1.1967,1.0033
NC105.1,NC63.2,W24xW11R1,0.25,0.3727,8950000,5680000,8200000,1.4909,0.8364,0.7321,0.8282,0.7924
NC105.1,NC63.2,W24xW11R2,0.25,0.3877,9400000,4450000,8150000,1.5506,0.8165,0.7438,0.6688,0.6979
NC105.1,NC63.2,W24xW11R3,0.25,0.3047,8580000,3940000,5900000,1.2188,0.9271,1.1932,0.7203,0.8644
NC105.1,NC63.2,W24xW11R4,0.25,0.2272,8780000,8550000,11000000,0.9087,1.0304,0.8784,0.7543,0.7825
NC105.1,NC63.2,W24xW11R5,0.25,0.319,11500000,4210000,6750000,1.2759,0.908,1.3353,0.6869,0.8937
NC105.1,NC69.1,W24xW13R1,0.25,0.5096,12200000,7390000,7100000,2.0383,0.6539,0.843,1.5917,1.2102
NC105.1,NC69.1,W24xW13R2,0.25,0.4939,12200000,7390000,8850000,1.9757,0.6748,0.6978,1.2375,0.9709
NC105.1,NC69.1,W24xW13R3,0.25,0.5677,8950000,7980000,7700000,2.2707,0.5764,0.5119,1.7979,1.0679
NC105.1,NC69.1,W24xW13R4,0.25,0.5526,9400000,3450000,5550000,2.2105,0.5965,0.7662,1.0421,0.8896
NC105.1,NC71.1,W24xW14R1,0.25,0.5192,10800000,2880000,3150000,2.0769,0.641,1.6508,1.4263,1.5429
NC105.1,NC71.1,W24xW14R2,0.25,0.561,10800000,2880000,7950000,2.2441,0.5853,0.6054,0.6189,0.6113
NC105.1,NC71.1,W24xW14R3,0.25,0.5075,8840000,3720000,7500000,2.0302,0.6566,0.5806,0.7554,0.6667
NC105.1,NC71.1,W24xW14R4,0.25,0.4964,8840000,3720000,7800000,1.9858,0.6714,0.5707,0.7103,0.641
NC105.1,NC71.1,W24xW14R5,0.25,0.6253,8950000,2950000,8800000,2.501,0.4997,0.4067,0.6709,0.5057
NC105.1,NC71.1,W24xW14R6,0.25,0.5486,9400000,1650000,5450000,2.1943,0.6019,0.786,0.503,0.6583
NC105.1,NC80.1,W24xW18R1,0.25,0.3515,8950000,7530000,10000000,1.4061,0.8646,0.6365,0.8709,0.7885
NC105.1,NC80.1,W24xW18R2,0.25,0.4231,9400000,4130000,9950000,1.6923,0.7692,0.5582,0.5396,0.5475
NC105.1,NC28.1,W24xW1R1,0.25,0.3323,10600000,6130000,9800000,1.3293,0.8902,0.8137,0.7026,0.7395
NC105.1,NC28.1,W24xW1R2,0.25,0.3047,9400000,9280000,7500000,1.2186,0.9271,1.0285,1.3346,1.2413
NC105.1,NC28.1,W24xW1R3,0.25,0.2162,10300000,9900000,8050000,0.865,1.045,1.4792,1.1768,1.2422
NC105.1,NC99.1,W24xW23R1,0.25,0.3657,8950000,8600000,11250000,1.4626,0.8458,0.5439,0.9038,0.7722
NC105.1,NC99.1,W24xW23R2,0.25,0.3429,11400000,6890000,8550000,1.3718,0.8761,0.972,0.9198,0.9377
NC105.1,NC99.1,W24xW23R3,0.25,0.3272,11400000,6890000,7650000,1.3086,0.8971,1.1387,1.0039,1.048
NC105.1,NC99.1,W24xW23R4,0.25,0.25,11400000,6890000,8200000,1,1,1.3902,0.8402,0.9777
NC105.1,NC99.1,W24xW23R5,0.25,0.3118,11400000,6890000,8700000,1.2472,0.9176,1.0506,0.8631,0.9216
NC105.1,NC99.1,W24xW23R6,0.25,0.3198,11400000,6890000,7700000,1.2794,0.9069,1.1572,0.9867,1.0412
NC105.1,NC99.1,W24xW23R7,0.25,0.3293,11400000,6890000,8700000,1.3172,0.8943,0.9948,0.8856,0.9216
NC105.1,NC34.2,W24xW3R1,0.25,0.3202,10833333,5116667,10250000,1.281,0.9063,0.8251,0.5508,0.6386
NC105.1,NC34.2,W24xW3R10,0.25,0.307,9940000,6310000,8840000,1.228,0.924,0.9157,0.7725,0.8165
NC105.1,NC34.2,W24xW3R11,0.25,0.314,9470000,6870000,8990000,1.256,0.9147,0.8387,0.8355,0.8365
NC105.1,NC34.2,W24xW3R12,0.25,0.3,10000000,6910000,9090000,1.2,0.9333,0.9168,0.8145,0.8452
NC105.1,NC34.2,W24xW3R13,0.25,0.314,9300000,6320000,8750000,1.256,0.9147,0.8462,0.7897,0.8074
NC105.1,NC34.2,W24xW3R14,0.25,0.3282,9780000,5950000,8225000,1.313,0.8957,0.9056,0.8077,0.8398
NC105.1,NC34.2,W24xW3R15,0.25,0.3315,9890000,5050000,7850000,1.3258,0.8914,0.9503,0.7217,0.7975
NC105.1,NC34.2,W24xW3R2,0.25,0.3221,10833333,5116667,8900000,1.2882,0.9039,0.9449,0.636,0.7355
NC105.1,NC34.2,W24xW3R3,0.25,0.3532,8843750,6792857,8250000,1.413,0.8623,0.7587,0.9548,0.8855
NC105.1,NC34.2,W24xW3R4,0.25,0.3706,8843750,6792857,5700000,1.4822,0.8393,1.0468,1.42,1.2817
NC105.1,NC34.2,W24xW3R5,0.25,0.3075,9516667,6700000,8300000,1.2302,0.9233,0.9321,0.8743,0.8921
NC105.1,NC34.2,W24xW3R6,0.25,0.3214,9516667,6700000,12000000,1.2857,0.9048,0.6168,0.6171,0.617
NC105.1,NC34.2,W24xW3R7,0.25,0.3303,10450000,6100000,12200000,1.3212,0.8929,0.6483,0.56,0.5891
NC105.1,NC34.2,W24xW3R8,0.25,0.3381,9400000,3475000,5800000,1.3522,0.8826,1.1985,0.6788,0.8545
NC105.1,NC34.2,W24xW3R9,0.25,0.304,10100000,6490000,8870000,1.216,0.928,0.9364,0.7884,0.8334
NC105.1,NC52.3,W24xW6R1,0.25,0.274,8900000,8740000,9600000,1.096,0.968,0.8459,0.9405,0.9146
NC105.1,NC52.3,W24xW6R10,0.25,0.2396,9000000,7550000,8500000,0.9583,1.0139,1.1049,0.8761,0.9309
NC105.1,NC52.3,W24xW6R2,0.25,0.2623,8900000,8740000,10000000,1.0492,0.9836,0.8483,0.8886,0.878
NC105.1,NC52.3,W24xW6R3,0.25,0.336,8580000,8730000,7300000,1.344,0.8853,0.8745,1.3508,1.1908
NC105.1,NC52.3,W24xW6R4,0.25,0.2958,8580000,8730000,9550000,1.1834,0.9389,0.7592,0.9737,0.9102
NC105.1,NC52.3,W24xW6R5,0.25,0.2603,9520000,7740000,9600000,1.0414,0.9862,0.9523,0.8175,0.8526
NC105.1,NC52.3,W24xW6R6,0.25,0.2634,9520000,7740000,8100000,1.0535,0.9822,1.1156,0.9729,1.0105
NC105.1,NC52.3,W24xW6R7,0.25,0.3333,8950000,8990000,11300000,1.3333,0.8889,0.594,0.895,0.7947
NC105.1,NC52.3,W24xW6R8,0.25,0.2757,8400000,8360000,8800000,1.1027,0.9658,0.8656,0.9837,0.9511
NC105.1,NC52.3,W24xW6R9,0.25,0.2131,8130000,8120000,7050000,0.8525,1.0492,1.3527,1.0978,1.1521
NC105.1,NC60.1,W24xW9R1,0.25,0.2899,8950000,11000000,9950000,1.1596,0.9468,0.7757,1.1676,1.054
NC105.1,NC60.1,W24xW9R2,0.25,0.3148,9400000,9480000,8750000,1.2591,0.9136,0.8532,1.1859,1.0811
NC34.2,NC69.1,W3xW13R1,0.25,0.3703,7410000,7390000,8500000,1.481,0.8397,0.5886,1.0354,0.87
NC34.2,NC69.1,W3xW13R2,0.25,0.3661,7410000,7390000,10000000,1.4645,0.8452,0.506,0.8744,0.7395
NC34.2,NC71.1,W3xW14R1,0.25,0.4832,5120000,2880000,8700000,1.933,0.689,0.3045,0.4805,0.3954
NC34.2,NC71.1,W3xW14R2,0.25,0.4903,5120000,2880000,4400000,1.961,0.6797,0.5934,0.9631,0.7818
NC34.2,NC71.1,W3xW14R3,0.25,0.498,6790000,3720000,5500000,1.9918,0.6694,0.6198,1.0104,0.8159
NC34.2,NC71.1,W3xW14R4,0.25,0.473,6790000,3720000,6050000,1.8922,0.7026,0.5931,0.8751,0.7417
NC34.2,NC80.1,W3xW18R1,0.25,0.2724,6790000,6830000,6250000,1.0898,0.9701,0.9969,1.1265,1.0912
NC34.2,NC80.1,W3xW18R2,0.25,0.2759,6790000,6830000,8650000,1.1037,0.9654,0.7112,0.8179,0.7884
NC52.3,NC69.1,W6xW13R1,0.25,0.2594,8360000,9570000,6700000,1.0376,0.9875,1.2025,1.4465,1.3832
NC52.3,NC69.1,W6xW13R2,0.25,0.4414,8120000,6580000,7550000,1.7657,0.7448,0.6091,1.1702,0.9225
NC52.3,NC69.1,W6xW13R3,0.25,0.425,7550000,5600000,.,1.7,0.7667,.,.,.
NC52.3,NC71.1,W6xW14R1,0.25,0.6429,8360000,5100000,4400000,2.5717,0.4761,0.7388,2.4346,1.3443
NC52.3,NC71.1,W6xW14R2,0.25,0.4677,8120000,4000000,5500000,1.8707,0.7098,0.7892,1.0247,0.9145
NC52.3,NC71.1,W6xW14R3,0.25,0.424,7550000,3800000,6800000,1.6958,0.7681,0.6547,0.7276,0.6967
NC52.3,NC80.1,W6xW18R1,0.25,0.237,8360000,6280000,8500000,0.9481,1.0173,1.0373,0.7263,0.8
NC52.3,NC80.1,W6xW18R2,0.25,0.2566,8120000,6580000,9000000,1.0263,0.9912,0.8791,0.7376,0.7739
NC52.3,NC80.1,W6xW18R3,0.25,0.3052,7550000,4850000,6350000,1.2208,0.9264,0.9739,0.8245,0.8701
NC52.3,NC99.1,W6xW23R1,0.25,0.2436,8740000,8540000,7150000,0.9744,1.0085,1.2545,1.1843,1.2014
NC52.3,NC99.1,W6xW23R2,0.25,0.2863,8740000,8540000,7450000,1.1452,0.9516,1.0244,1.2046,1.153
NC52.3,NC99.1,W6xW23R3,0.25,0.1753,8730000,7900000,10500000,0.7011,1.0996,1.1859,0.6842,0.7721
NC52.3,NC99.1,W6xW23R4,0.25,0.1986,8730000,7900000,7750000,0.7942,1.0686,1.4183,0.9539,1.0461
NC52.3,NC99.1,W6xW23R5,0.25,0.2371,7740000,3110000,6000000,0.9485,1.0172,1.36,0.5096,0.7113
NC52.3,NC99.1,W6xW23R6,0.25,0.2539,7740000,3110000,5050000,1.0155,0.9948,1.5092,0.619,0.845
NC52.3,NC99.1,W6xW23R7,0.25,0.2879,8120000,6650000,7500000,1.1515,0.9495,0.9402,0.9338,0.9357
NC52.3,NC99.1,W6xW23R8,0.25,0.3073,7550000,6530000,6150000,1.2292,0.9236,0.9988,1.1496,1.1033
NC52.3,NC34.2,W6xW3R1,0.25,0.237,8360000,5670000,6400000,0.9481,1.0173,1.3777,0.8709,0.991
NC52.3,NC34.2,W6xW3R2,0.25,0.2616,8120000,4250000,6500000,1.0465,0.9845,1.1938,0.6641,0.8027
NC52.3,NC34.2,W6xW3R3,0.25,0.2177,7550000,4480000,6150000,0.8708,1.0431,1.4097,0.6984,0.8533
NC52.3,NC60.1,W6xW9R1,0.25,0.1892,8360000,11100000,8300000,0.7569,1.081,1.3308,1.2371,1.2548
NC52.3,NC60.1,W6xW9R2,0.25,0.2323,8120000,6700000,8100000,0.9293,1.0236,1.0787,0.8081,0.871
NC52.3,NC60.1,W6xW9R3,0.25,0.1885,7550000,7100000,.,0.7542,1.0819,.,.,.
NC60.1,NC71.1,W9xW14R1,0.25,0.5675,7570000,2880000,6600000,2.2702,0.5766,0.5052,0.7568,0.614
NC60.1,NC71.1,W9xW14R2,0.25,0.5231,7570000,2880000,4700000,2.0923,0.6359,0.7698,0.9636,0.8622
NC63.2,NC69.1,W11xW13R1,0.5,0.7566,3940000,6930000,5700000,1.5133,0.4867,0.4568,2.498,0.9535
NC63.2,NC69.1,W11xW13R2,0.5,0.8444,8550000,7680000,8350000,1.6888,0.3112,0.6063,2.9555,0.9719
NC63.2,NC69.1,W11xW13R3,0.5,0.8862,4210000,4750000,7000000,1.7723,0.2277,0.3393,2.9802,0.64
NC63.2,NC71.1,W11xW14R1,0.5,0.8537,8550000,5230000,8350000,1.7075,0.2925,0.5997,2.1411,0.8251
NC63.2,NC71.1,W11xW14R2,0.5,0.8779,4210000,3830000,7000000,1.7559,0.2441,0.3425,2.2414,0.5743
NC63.2,NC80.1,W11xW18R1,0.5,0.5757,8550000,6600000,9750000,1.1515,0.8485,0.7616,0.7977,0.7769
NC63.2,NC80.1,W11xW18R2,0.5,0.5713,4210000,8050000,7250000,1.1426,0.8574,0.5082,1.295,0.8455
NC63.2,NC99.1,W11xW23R1,0.5,0.5409,3940000,5680000,5300000,1.0818,0.9182,0.6872,1.1672,0.9075
NC63.2,NC99.1,W11xW23R2,0.5,0.6151,8550000,7180000,8400000,1.2303,0.7697,0.8273,1.1105,0.9363
NC63.2,NC99.1,W11xW23R3,0.5,0.5785,4210000,8650000,9500000,1.1569,0.8431,0.383,1.08,0.6768
NC63.2,NC34.2,W11xW3R1,0.5,0.5923,8550000,3380000,9050000,1.1846,0.8154,0.7975,0.4581,0.6591
NC63.2,NC34.2,W11xW3R2,0.5,0.5354,4210000,4400000,6000000,1.0708,0.9292,0.6553,0.7892,0.7175
NC63.2,NC52.3,W11xW6R1,0.5,0.6587,8550000,7320000,7850000,1.3174,0.6826,0.8267,1.3661,1.0108
NC63.2,NC52.3,W11xW6R2,0.5,0.5081,6480000,8120000,8600000,1.0162,0.9838,0.7415,0.9597,0.8488
NC63.2,NC52.3,W11xW6R3,0.5,0.5698,7000000,7550000,6800000,1.1396,0.8604,0.9033,1.2904,1.0699
NC63.2,NC52.3,W11xW6R4,0.5,0.5723,4210000,8750000,7000000,1.1446,0.8554,0.5254,1.4613,0.9257
NC63.2,NC60.1,W11xW9R1,0.5,0.5571,8550000,7390000,10100000,1.1141,0.8859,0.7598,0.8259,0.7891
NC63.2,NC60.1,W11xW9R2,0.5,0.5477,4210000,9530000,6950000,1.0954,0.9046,0.553,1.5158,0.9885
NC28.1,NC63.2,W1xW11R1,0.5,0.501,9290000,8125000,10750000,1.0071,0.9929,0.8625,0.7573,0.81
NC28.1,NC63.2,W1xW11R10,0.5,0.6463,8550000,8551000,10000000,1.2925,0.7075,0.6615,1.2087,0.8551
NC28.1,NC63.2,W1xW11R11,0.5,0.5579,9600000,4210000,8350000,1.1159,0.8841,1.0303,0.5703,0.8269
NC28.1,NC63.2,W1xW11R12,0.5,0.537,6160000,7040000,8300000,1.074,0.926,0.691,0.916,0.7952
NC28.1,NC63.2,W1xW11R13,0.5,0.537,6890000,7580000,8940000,1.074,0.926,0.7176,0.9156,0.8093
NC28.1,NC63.2,W1xW11R14,0.5,0.528,5540000,5920000,7100000,1.056,0.944,0.7389,0.8833,0.807
NC28.1,NC63.2,W1xW11R15,0.5,0.511,6010000,6500000,7570000,1.022,0.978,0.7768,0.878,0.8263
NC28.1,NC63.2,W1xW11R16,0.5,0.543,7240000,7660000,9140000,1.086,0.914,0.7294,0.9169,0.8151
NC28.1,NC63.2,W1xW11R17,0.5,0.557,6650000,7500000,8720000,1.114,0.886,0.6846,0.9708,0.8114
NC28.1,NC63.2,W1xW11R18,0.5,0.567,7910000,8430000,9990000,1.134,0.866,0.6982,0.9744,0.8178
NC28.1,NC63.2,W1xW11R2,0.5,0.532,9290000,8125000,10250000,1.0443,0.9557,0.8518,0.8469,0.8495
NC28.1,NC63.2,W1xW11R3,0.5,0.496,9680000,8941667,12000000,0.998,1.002,0.8132,0.7392,0.7759
NC28.1,NC63.2,W1xW11R4,0.5,0.493,9680000,8941667,11150000,0.9777,1.0223,0.8805,0.7909,0.8351
NC28.1,NC63.2,W1xW11R5,0.5,0.594,5320000,2980000,4950000,1.2012,0.7988,0.9047,0.7414,0.8384
NC28.1,NC63.2,W1xW11R6,0.5,0.593,5320000,2980000,5750000,1.1834,0.8166,0.7801,0.6367,0.7217
NC28.1,NC63.2,W1xW11R7,0.5,0.5138,6125000,1150000,3700000,1.0275,0.9725,1.6111,0.3196,0.9831
NC28.1,NC63.2,W1xW11R8,0.5,0.597,9900000,4925000,11500000,1.1939,0.8061,0.7211,0.5313,0.6446
NC28.1,NC63.2,W1xW11R9,0.5,0.6472,12200000,3943750,7950000,1.2945,0.7055,1.1855,0.7031,1.0153
NC28.1,NC69.1,W1xW13R1,0.5,0.766,6130000,8300000,7500000,1.532,0.468,0.5335,2.3647,0.962
NC28.1,NC69.1,W1xW13R2,0.5,0.868,9900000,6900000,9650000,1.736,0.264,0.5909,2.7088,0.8705
NC28.1,NC71.1,W1xW14R1,0.5,0.8206,6130000,2580000,7650000,1.6412,0.3588,0.4882,0.9399,0.5693
NC28.1,NC71.1,W1xW14R2,0.5,0.8954,9900000,6100000,9900000,1.7909,0.2091,0.5584,2.9462,0.8081
NC28.1,NC80.1,W1xW18R1,0.5,0.5851,6130000,1900000,6350000,1.1702,0.8298,0.8249,0.3606,0.6323
NC28.1,NC80.1,W1xW18R2,0.5,0.797,9900000,7250000,.,1.5939,0.4061,.,.,.
NC28.1,NC99.1,W1xW23R1,0.5,0.5219,6130000,8450000,8600000,1.0438,0.9562,0.6829,1.0276,0.8477
NC28.1,NC99.1,W1xW23R2,0.5,0.6497,6130000,8450000,10700000,1.2995,0.7005,0.4409,1.1274,0.6813
NC28.1,NC34.2,W1xW3R1,0.5,0.4934,6130000,9080000,8550000,0.9867,1.0133,0.7266,1.0481,0.8895
NC28.1,NC34.2,W1xW3R2,0.5,0.4934,9900000,4170000,8800000,0.9868,1.0132,1.14,0.4677,0.7994
NC28.1,NC52.3,W1xW6R1,0.5,0.6361,6130000,6550000,8300000,1.2722,0.7278,0.5805,1.0843,0.7639
NC28.1,NC52.3,W1xW6R2,0.5,0.6234,9900000,7330000,7800000,1.2467,0.7533,1.0181,1.2475,1.1045
NC28.1,NC52.3,W1xW6R3,0.5,0.5313,8230000,8120000,7500000,1.0626,0.9374,1.0327,1.155,1.09
NC28.1,NC52.3,W1xW6R4,0.5,0.6115,7480000,7550000,7400000,1.2229,0.7771,0.8266,1.3129,1.0155
NC28.1,NC60.1,W1xW9R1,0.5,0.4975,6130000,7000000,8550000,0.9949,1.0051,0.7206,0.8146,0.7678
NC28.1,NC60.1,W1xW9R2,0.5,0.4782,9900000,9700000,13600000,0.9563,1.0437,0.7612,0.6834,0.7206
NC28.1,NC60.1,W1xW9R3,0.5,0.465,7240000,8690000,9650000,0.93,1.07,0.8067,0.8416,0.8254
NC28.1,NC60.1,W1xW9R4,0.5,0.5975,7240000,8690000,8050000,1.195,0.805,0.7526,1.3409,0.9894
NC105.1,NC63.2,W24xW11R1,0.5,0.6061,8950000,5680000,10600000,1.2121,0.7879,0.6966,0.6801,0.6901
NC105.1,NC63.2,W24xW11R2,0.5,0.6255,9400000,4450000,8300000,1.251,0.749,0.9053,0.7158,0.8343
NC105.1,NC63.2,W24xW11R3,0.5,0.5204,8580000,3940000,8200000,1.0409,0.9591,1.0052,0.501,0.7634
NC105.1,NC63.2,W24xW11R4,0.5,0.4222,8780000,8550000,12250000,0.8444,1.1556,0.8488,0.604,0.7073
NC105.1,NC63.2,W24xW11R5,0.5,0.5518,11500000,4210000,8750000,1.1036,0.8964,1.1909,0.5367,0.8977
NC105.1,NC69.1,W24xW13R1,0.5,0.8107,12200000,7390000,8300000,1.6213,0.3787,0.9066,2.3514,1.1801
NC105.1,NC69.1,W24xW13R2,0.5,0.7738,12200000,7390000,9700000,1.5477,0.4523,0.8127,1.6843,1.0098
NC105.1,NC69.1,W24xW13R3,0.5,0.8081,8950000,7980000,9250000,1.6162,0.3838,0.5987,2.2476,0.9151
NC105.1,NC69.1,W24xW13R4,0.5,0.8158,9400000,3450000,6550000,1.6316,0.3684,0.8796,1.4297,0.9809
NC105.1,NC71.1,W24xW14R1,0.5,0.8047,10800000,2880000,10000000,1.6093,0.3907,0.6711,0.7372,0.684
NC105.1,NC71.1,W24xW14R2,0.5,0.8062,10800000,2880000,10500000,1.6123,0.3877,0.6379,0.7075,0.6514
NC105.1,NC71.1,W24xW14R3,0.5,0.7377,8840000,3720000,9650000,1.4754,0.5246,0.6209,0.7348,0.6508
NC105.1,NC71.1,W24xW14R4,0.5,0.7335,8840000,3720000,7750000,1.4669,0.5331,0.7776,0.9005,0.8103
NC105.1,NC71.1,W24xW14R5,0.5,0.7737,8950000,2950000,7400000,1.5475,0.4525,0.7816,0.8809,0.8041
NC105.1,NC71.1,W24xW14R6,0.5,0.7591,9400000,1650000,9600000,1.5182,0.4818,0.6449,0.3567,0.5755
NC105.1,NC80.1,W24xW18R1,0.5,0.5758,8950000,7530000,9400000,1.1515,0.8485,0.8268,0.9441,0.8766
NC105.1,NC80.1,W24xW18R2,0.5,0.6377,9400000,4130000,10850000,1.2753,0.7247,0.6793,0.5252,0.6235
NC105.1,NC28.1,W24xW1R1,0.5,0.5199,10600000,6130000,12600000,1.0398,0.9602,0.8091,0.5066,0.6639
NC105.1,NC28.1,W24xW1R2,0.5,0.5445,9400000,9280000,8750000,1.0891,0.9109,0.9864,1.1643,1.0674
NC105.1,NC28.1,W24xW1R3,0.5,0.4812,10300000,9900000,8650000,0.9624,1.0376,1.2372,1.1031,1.1676
NC105.1,NC99.1,W24xW23R1,0.5,0.5909,8950000,8600000,12400000,1.1818,0.8182,0.6107,0.8477,0.7077
NC105.1,NC99.1,W24xW23R2,0.5,0.5891,11400000,6890000,9900000,1.1782,0.8218,0.9774,0.8468,0.9237
NC105.1,NC99.1,W24xW23R3,0.5,0.5967,11400000,6890000,9850000,1.1934,0.8066,0.9698,0.8672,0.9284
NC105.1,NC99.1,W24xW23R4,0.5,0.5093,11400000,6890000,8350000,1.0185,0.9815,1.3404,0.8407,1.0952
NC105.1,NC99.1,W24xW23R5,0.5,0.5984,11400000,6890000,8900000,1.1968,0.8032,1.0703,0.9638,1.0275
NC105.1,NC99.1,W24xW23R6,0.5,0.6083,11400000,6890000,8050000,1.2166,0.7834,1.164,1.0925,1.136
NC105.1,NC99.1,W24xW23R7,0.5,0.5646,11400000,6890000,8400000,1.1293,0.8707,1.2018,0.942,1.0887
NC105.1,NC34.2,W24xW3R1,0.5,0.5438,10833333,5116667,11800000,1.0876,0.9124,0.8441,0.4753,0.6758
NC105.1,NC34.2,W24xW3R10,0.5,0.512,9940000,6310000,10100000,1.024,0.976,0.9611,0.6401,0.8045
