Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC52.3,NC34.2,W6xW3R2,0.05,0.0485,8120000,4250000,5200000,0.9697,1.0016,1.6103,0.816,0.8545
NC52.3,NC34.2,W6xW3R3,0.05,0.0594,7550000,4480000,5150000,1.1875,0.9901,1.2345,0.8786,0.8997
NC52.3,NC60.1,W6xW9R1,0.05,0.0478,8360000,11100000,9650000,0.9563,1.0023,0.906,1.1476,1.1361
NC52.3,NC60.1,W6xW9R2,0.05,0.0333,8120000,6700000,7700000,0.6667,1.0175,1.5818,0.8551,0.8794
NC52.3,NC60.1,W6xW9R3,0.05,0.0344,7550000,7100000,7900000,0.6875,1.0164,1.3901,0.8842,0.9016
NC60.1,NC71.1,W9xW14R1,0.05,0.1421,7570000,2880000,5400000,2.8427,0.903,0.4931,0.5906,0.5768
NC63.2,NC69.1,W11xW13R1,0.1,0.2883,3940000,6930000,5550000,2.8834,0.7907,0.2462,1.5791,1.1948
NC63.2,NC69.1,W11xW13R2,0.1,0.2241,8550000,7680000,5200000,2.2407,0.8621,0.7338,1.7131,1.4937
NC63.2,NC69.1,W11xW13R3,0.1,0.3477,4210000,4750000,4150000,3.4769,0.7248,0.2918,1.5792,1.1316
NC63.2,NC71.1,W11xW14R1,0.1,0.3994,8550000,5230000,5200000,3.9938,0.6674,0.4117,1.5071,1.0696
NC63.2,NC71.1,W11xW14R2,0.1,0.3559,4210000,3830000,4150000,3.559,0.7157,0.285,1.2895,0.932
NC63.2,NC80.1,W11xW18R1,0.1,0.1608,8550000,6600000,6500000,1.6079,0.9325,0.8181,1.0889,1.0454
NC63.2,NC80.1,W11xW18R2,0.1,0.1621,4210000,8050000,7900000,1.6205,0.9311,0.3289,1.0944,0.9704
NC63.2,NC99.1,W11xW23R1,0.1,0.18,3940000,5680000,4850000,1.7996,0.9112,0.4514,1.2853,1.1353
NC63.2,NC99.1,W11xW23R2,0.1,0.2044,8550000,7180000,7550000,2.0436,0.884,0.5542,1.0757,0.9691
NC63.2,NC99.1,W11xW23R3,0.1,0.1672,4210000,8650000,9800000,1.6718,0.9254,0.257,0.9539,0.8373
NC63.2,NC34.2,W11xW3R1,0.1,0.1732,8550000,3380000,4150000,1.7324,0.9186,1.1893,0.8866,0.939
NC63.2,NC34.2,W11xW3R2,0.1,0.1549,4210000,4400000,4200000,1.5487,0.939,0.6472,1.1156,1.0431
